Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,33105,33195,"Cincinnati, OH","Tampa, FL (Metropolitan Area)",11193,14112,CVG,PIE,776,174,105.51,G4,1,105.51,G4,1,105.51,1730
2024,1,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",10800,14100,BUR,PHL,2402,24,327.23,AA,0.6109,358.46,WN,0.2579,255.61,1657
2024,1,30466,30559,"Phoenix, AZ","Seattle, WA",14107,14747,PHX,SEA,1107,3117,203.63,AS,0.5441,209.9,WN,0.1249,182.19,297
2024,1,33198,32467,"Kansas City, MO","Miami, FL (Metropolitan Area)",13198,11697,MCI,FLL,1251,377,272.31,WN,0.7092,275.47,NK,0.0774,131.75,1751
2024,1,33485,31703,"Madison, WI","New York City, NY (Metropolitan Area)",13485,12197,MSN,HPN,819,10,249.34,DL,0.5106,266.3,AA,0.4787,228.2,1797
2024,1,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",11259,13158,DAL,MAF,319,240,196.65,WN,0.9982,196.7,WN,0.9982,196.7,122
2024,1,31714,32575,"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)",14635,13891,RSW,ONT,2238,24,384,AA,0.482,413.26,WN,0.1622,295.05,1286
2024,1,30721,34614,"Boston, MA (Metropolitan Area)","Salt Lake City, UT",13296,14869,MHT,SLC,2105,13,315.05,WN,0.8879,296.72,WN,0.8879,296.72,626
2024,1,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",12478,14492,JFK,RDU,459,675,168.69,DL,0.3394,183.99,B6,0.3213,156.53,1233
2024,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",10423,12954,AUS,LGB,1242,228,181.87,WN,0.9942,181.13,WN,0.9942,181.13,283
2024,1,30194,33570,"Dallas/Fort Worth, TX","San Diego, CA",11259,14679,DAL,SAN,1182,532,217.62,WN,0.9979,217.53,WN,0.9979,217.53,140
2024,1,31453,30852,"Houston, TX","Washington, DC (Metropolitan Area)",12191,10821,HOU,BWI,1246,506,211.4,WN,0.9789,210.77,WN,0.9789,210.77,975
2024,1,30721,34027,"Boston, MA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",10721,14027,BOS,PBI,1222,1704,260.74,B6,0.757,247.81,B6,0.757,247.81,610
2024,1,31703,31454,"New York City, NY (Metropolitan Area)","Orlando, FL",12478,13204,JFK,MCO,989,2477,183.99,B6,0.5482,172.67,B6,0.5482,172.67,1154
2024,1,32337,32457,"Indianapolis, IN","San Francisco, CA (Metropolitan Area)",12339,14771,IND,SFO,1943,302,315.12,UA,0.625,344.6,AA,0.1566,256.73,1360
2024,1,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",10792,12954,BUF,LGB,2218,9,221.15,WN,0.9634,216.83,WN,0.9634,216.83,655
2024,1,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",13891,14893,ONT,SMF,404,845,185.83,WN,0.9879,185.61,WN,0.9879,185.61,1597
2024,1,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",10800,14122,BUR,PIT,2136,25,346.26,WN,0.6667,311.05,WN,0.6667,311.05,1482
2024,1,32457,34689,"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA",14831,14689,SJC,SBA,263,0,153.5,,NA,NA,,NA,NA,1403
2024,1,32575,34057,"Los Angeles, CA (Metropolitan Area)","Portland, OR",12892,14057,LAX,PDX,859,1291,212.65,AS,0.5458,198.45,AS,0.5458,198.45,1653
2024,1,30194,34100,"Dallas/Fort Worth, TX","Philadelphia, PA",11298,14100,DFW,PHL,1303,1092,325.14,AA,0.8224,359.93,F9,0.1187,127.09,152
2024,1,31453,31650,"Houston, TX","Minneapolis/St. Paul, MN",12191,13487,HOU,MSP,1057,88,181.79,WN,0.6953,196,SY,0.1866,89.8,987
2024,1,30977,34614,"Chicago, IL","Salt Lake City, UT",13232,14869,MDW,SLC,1259,162,243.82,WN,0.8738,253.53,F9,0.1045,124.54,802
2024,1,30994,30194,"Charleston, SC","Dallas/Fort Worth, TX",10994,11298,CHS,DFW,987,283,291.94,AA,0.8814,290.54,NK,0.0241,129.79,811
2024,1,31703,33316,"New York City, NY (Metropolitan Area)","Omaha, NE",12478,13871,JFK,OMA,1188,5,332.13,DL,0.5625,381.28,AA,0.3542,260.69,1192
2024,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10721,13891,BOS,ONT,2611,81,310.55,AA,0.5673,305.87,WN,0.1605,259.82,571
2024,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,10800,COS,BUR,833,53,171.34,WN,0.6806,175.32,WN,0.6806,175.32,30
2024,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12478,13796,JFK,OAK,2608,12,376.5,DL,0.7928,375.71,AS,0.1712,368.65,1168
2024,1,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",11298,11423,DFW,DSM,624,219,274.19,AA,0.9548,273.69,AA,0.9548,273.69,64
2024,1,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",11193,11278,CVG,DCA,430,333,180.81,DL,0.5999,183.38,AA,0.38,177.14,1711
2024,1,33198,30852,"Kansas City, MO","Washington, DC (Metropolitan Area)",13198,11278,MCI,DCA,967,481,222.91,WN,0.6404,206.89,WN,0.6404,206.89,1741
2024,1,30977,31453,"Chicago, IL","Houston, TX",13930,12191,ORD,HOU,945,34,248.14,WN,0.7049,228.64,WN,0.7049,228.64,722
2024,1,30721,34524,"Boston, MA (Metropolitan Area)","Richmond, VA",13296,14524,MHT,RIC,487,4,270.62,AA,0.875,282.63,UA,0.075,194.33,623
2024,1,30466,30852,"Phoenix, AZ","Washington, DC (Metropolitan Area)",14107,12264,PHX,IAD,1999,467,333.31,UA,0.8979,332.29,WN,0.0379,274.39,300
2024,1,30194,32600,"Dallas/Fort Worth, TX","Little Rock, AR",11298,12992,DFW,LIT,304,156,243.41,AA,0.976,243.55,AA,0.976,243.55,117
2024,1,31453,30466,"Houston, TX","Phoenix, AZ",12191,14107,HOU,PHX,1020,615,214.75,WN,0.983,213.11,WN,0.983,213.11,969
2024,1,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",14635,12391,RSW,ISP,1102,147,151,F9,0.917,136.95,F9,0.917,136.95,1277
2024,1,31703,34614,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",12953,14869,LGA,SLC,2022,194,322.32,DL,0.3428,427.86,WN,0.2731,228.39,1251
2024,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14307,12264,PVD,IAD,418,41,281.31,UA,0.9893,281.86,UA,0.9893,281.86,493
2024,1,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",14635,12478,RSW,JFK,1102,953,188.92,B6,0.6237,175.29,B6,0.6237,175.29,1278
2024,1,30693,30852,"Nashville, TN","Washington, DC (Metropolitan Area)",10693,11278,BNA,DCA,587,860,182.29,WN,0.4481,165.38,WN,0.4481,165.38,432
2024,1,31423,32467,"Des Moines, IA","Miami, FL (Metropolitan Area)",11423,13303,DSM,MIA,1327,103,293.7,AA,0.7345,296.68,UA,0.1119,260.98,965
2024,1,34614,32457,"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",14869,13796,SLC,OAK,599,576,171.02,WN,0.6131,158.81,WN,0.6131,158.81,1880
2024,1,31703,34576,"New York City, NY (Metropolitan Area)","Rochester, NY",12391,14576,ISP,ROC,285,2,248.76,WN,1,248.76,WN,1,248.76,1244
2024,1,30466,34524,"Phoenix, AZ","Richmond, VA",14107,14524,PHX,RIC,1965,233,283.61,AA,0.3648,319.83,MX,0.21,157.57,318
2024,1,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",11292,13891,DEN,ONT,862,672,162.11,WN,0.5098,174.79,F9,0.33,110.66,210
2024,1,31135,30852,"Myrtle Beach, SC","Washington, DC (Metropolitan Area)",13577,10821,MYR,BWI,399,183,174.38,WN,0.9609,170.1,WN,0.9609,170.1,902
2024,1,30977,31624,"Chicago, IL","Key West, FL",13232,11624,MDW,EYW,1251,1,434,DL,1,434,DL,1,434,104
2024,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,12264,LGB,IAD,2329,4,248.5,WN,0.8,219.51,WN,0.8,219.51,1515
