Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,31703,33192,"New York City, NY (Metropolitan Area)","Sacramento, CA",12197,14893,HPN,SMF,2521,3,212.08,AA,0.5,199.83,AA,0.5,199.83,1175
2024,1,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",13930,11618,ORD,EWR,773,1929,213.02,UA,0.8068,215.62,AA,0.1813,199.77,734
2024,1,35412,33195,"Knoxville, TN","Tampa, FL (Metropolitan Area)",15412,14112,TYS,PIE,550,178,95.65,G4,1,95.65,G4,1,95.65,1904
2024,1,31703,33192,"New York City, NY (Metropolitan Area)","Sacramento, CA",12478,14893,JFK,SMF,2521,341,230.47,B6,0.7483,218.05,B6,0.7483,218.05,1176
2024,1,31703,30466,"New York City, NY (Metropolitan Area)","Phoenix, AZ",12391,14107,ISP,PHX,2189,13,290.46,WN,0.8908,303.39,F9,0.1008,171.42,1129
2024,1,30977,34492,"Chicago, IL","Raleigh/Durham, NC",13232,14492,MDW,RDU,646,262,174.75,WN,0.9476,172.02,F9,0.0231,117.91,798
2024,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",10372,12478,ASE,JFK,1750,13,624.5,AA,0.6387,572.33,AA,0.6387,572.33,217
2024,1,30397,30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",10397,11042,ATL,CLE,554,692,198.74,DL,0.7488,214.89,WN,0.1273,154.42,227
2024,1,34614,32457,"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",14869,14771,SLC,SFO,599,898,230.81,DL,0.5646,224.17,DL,0.5646,224.17,1881
2024,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11259,10821,DAL,BWI,1217,586,213.97,WN,0.9904,213.5,WN,0.9904,213.5,51
2024,1,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",11066,12953,CMH,LGA,519,602,204.18,DL,0.5309,222.65,AA,0.414,184.74,880
2024,1,31453,34524,"Houston, TX","Richmond, VA",12191,14524,HOU,RIC,1166,51,234.68,WN,0.6445,213.61,WN,0.6445,213.61,1061
2024,1,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",13487,14107,MSP,PHX,1276,3228,227.37,DL,0.4012,318.01,SY,0.3174,159.61,1104
2024,1,31136,32457,"Jacksonville, FL","San Francisco, CA (Metropolitan Area)",12451,14831,JAX,SJC,2366,31,371.21,WN,0.3521,286.15,WN,0.3521,286.15,922
2024,1,30599,30852,"Birmingham, AL","Washington, DC (Metropolitan Area)",10599,12264,BHM,IAD,682,17,311.45,DL,0.6456,312.92,AA,0.2025,301.07,342
2024,1,30599,31703,"Birmingham, AL","New York City, NY (Metropolitan Area)",10599,12391,BHM,ISP,902,4,271.1,WN,1,271.1,WN,1,271.1,349
2024,1,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",14307,12266,PVD,IAH,1609,42,327.33,DL,0.3298,352.41,AA,0.2797,301.85,526
2024,1,31986,30466,"Grand Rapids, MI","Phoenix, AZ",11986,14107,GRR,PHX,1574,258,323.73,AA,0.5256,320.18,WN,0.1463,273.77,1307
2024,1,31136,32467,"Jacksonville, FL","Miami, FL (Metropolitan Area)",12451,11697,JAX,FLL,335,181,138.71,B6,0.9588,136.49,B6,0.9588,136.49,923
2024,1,30977,33198,"Chicago, IL","Kansas City, MO",13232,13198,MDW,MCI,405,436,179.3,WN,0.9917,179.01,WN,0.9917,179.01,771
2024,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",14307,12954,PVD,LGB,2611,3,227.9,WN,1,227.9,WN,1,227.9,580
2024,1,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13796,12264,OAK,IAD,2457,11,289.08,WN,0.534,262.51,WN,0.534,262.51,1385
2024,1,31295,33195,"Detroit, MI","Tampa, FL (Metropolitan Area)",11433,15304,DTW,TPA,983,1826,213.65,DL,0.5608,276.49,NK,0.2704,116.96,956
2024,1,31057,32575,"Charlotte, NC","Los Angeles, CA (Metropolitan Area)",11057,13891,CLT,ONT,2125,107,355.81,AA,0.7216,390.29,F9,0.0901,139.69,861
2024,1,32467,32244,"Miami, FL (Metropolitan Area)","New Haven, CT",11697,12244,FLL,HVN,1126,314,121.04,XP,1,121.04,XP,1,121.04,1435
2024,1,31453,32457,"Houston, TX","San Francisco, CA (Metropolitan Area)",12191,14771,HOU,SFO,1649,47,240.92,WN,0.5808,271.02,F9,0.1593,121,1004
2024,1,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",14122,12264,PIT,IAD,210,65,205.57,UA,0.995,205.84,UA,0.995,205.84,171
2024,1,32441,31703,"Jackson, WY","New York City, NY (Metropolitan Area)",12441,11618,JAC,EWR,1894,200,572.4,UA,0.9262,578.38,AA,0.0341,435.18,1371
2024,1,30194,35412,"Dallas/Fort Worth, TX","Knoxville, TN",11298,15412,DFW,TYS,772,196,355.74,AA,0.9008,352.66,UA,0.0179,291.16,168
2024,1,33667,33570,"Norfolk, VA (Metropolitan Area)","San Diego, CA",14098,14679,PHF,SAN,2330,6,392.9,AA,1,392.9,AA,1,392.9,1825
2024,1,30647,30466,"Cleveland, OH (Metropolitan Area)","Phoenix, AZ",10874,14107,CAK,PHX,1754,11,334.5,AA,0.6275,336.5,UA,0.3725,331.13,376
2024,1,32575,33667,"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",12892,14098,LAX,PHF,2371,6,441.51,AA,0.9661,437.18,AA,0.9661,437.18,1637
