"","year","quarter","statecode1","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"68",2019,2,"NV",1368.6,2106,978.389126451547,192,2286,2036,246,2282
"69",2019,2,"NY",1296.74897119342,1084,887.903803346326,222,2619,1926.5,337,2263.5
"70",2019,2,"OH",1086.99324324324,931,648.208021710483,314,2187,1345.75,513.75,1859.5
"71",2019,2,"OK",1217.85714285714,1180,198.000360750032,833,1384,204,1180,1384
"72",2019,2,"OR",938.368421052632,751,641.959345418065,471,2358,207,569,776
"73",2019,2,"PA",1515.84615384615,2075,968.792190148283,210,2521,1376,878,2254
"74",2019,2,"SC",897.183673469388,647,631.047861149394,426,2396,159,601,760
"75",2019,2,"TN",925.130434782609,795,430.207371634536,465,1969,339.75,662.25,1002
"76",2019,2,"TX",1047.23648648649,1105,444.716590177922,148,1944,699,708,1407
"77",2019,2,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"78",2019,2,"VA",1560.35714285714,1530.5,884.437118445125,662,2449,1711,726,2437
"79",2019,2,"VT",324.333333333333,266,87.5,266,441,175,266,441
"80",2019,2,"WA",1431,1008,763.931410533694,728,2520,1467,868,2335
"81",2019,2,"WI",1062.57142857143,850,443.924620609253,641,1845,683,777,1460
"82",2019,3,"AL",954.608695652174,682,479.761848035084,570,1815,283,619,902
"83",2019,3,"AR",1272.78947368421,1371,201.047694437406,912,1494,245.5,1187,1432.5
"84",2019,3,"AZ",1201.16,1081,604.206206522244,304,1999,1223,668,1891
"85",2019,3,"CA",1601.22641509434,1735,790.620049188223,370,2510,1484,859,2343
"86",2019,3,"CO",1280.58620689655,1491,383.991026424296,592,1709,776,883,1659
"87",2019,3,"CT",1778.70588235294,2213,892.066544932739,326,2625,1333,1194,2527
"88",2019,3,"DC",883,883,0,883,883,0,883,883
"89",2019,3,"FL",1289.52830188679,1068,694.34117053228,192,2724,1112,829.25,1941.25
"90",2019,3,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"91",2019,3,"IA",1168.0625,1071,207.536814003363,910,1447,376,1071,1447
"92",2019,3,"ID",785.454545454545,688,336.840129330329,523,1448,106,605.5,711.5
"93",2019,3,"IL",910.222972972973,773,491.143907322431,177,1855,614,583,1197
"94",2019,3,"IN",1175.5,930,570.398336169349,516,1943,1113,701,1814
"95",2019,3,"KY",689,699,133.663133785398,495,910,30,699,729
"96",2019,3,"LA",1273.07142857143,1218,400.299015984054,488,1911,226.5,1053,1279.5
"97",2019,3,"MA",1246.0358974359,1047,806.947572833991,192,2704,1160,594,1754
"98",2019,3,"ME",430.5,393,51.7549169506766,393,493,100,393,493
"99",2019,3,"MI",1167.14634146341,1044,629.026969253927,409,2079,1334,540,1874
"100",2019,3,"MN",1178.5,1057,247.492890340775,936,1589,241.5,1057,1298.5
"101",2019,3,"MO",1147.15384615385,1148,230.925735648098,738,1499,376.75,986.25,1363
"102",2019,3,"MT",1159.05882352941,1027,431.714093843981,807,1902,119,908,1027
"103",2019,3,"NC",949,633,725.647793354324,255,2400,444,492,936
"104",2019,3,"NE",1181,1037,208.734965241298,1025,1433,408,1025,1433
"105",2019,3,"NJ",977,977,NA,977,977,0,977,977
"106",2019,3,"NM",1237.74074074074,1121,575.744240265962,328,1974,1184,677,1861
"107",2019,3,"NV",1368.6,2106,978.389126451547,192,2286,2036,246,2282
"108",2019,3,"NY",1289.67659574468,1084,895.008034680252,222,2619,1881,337,2218
"109",2019,3,"OH",1101.59589041096,931,653.384541986672,314,2187,1381,519,1900
"110",2019,3,"OK",1217.85714285714,1180,198.000360750032,833,1384,204,1180,1384
"111",2019,3,"OR",875.454545454545,751,616.036310561915,471,2358,276,500,776
"112",2019,3,"PA",1515.84615384615,2075,968.792190148283,210,2521,1376,878,2254
"113",2019,3,"SC",774.918367346939,643,508.005611711733,399,2206,188,489,677
"114",2019,3,"TN",909.727272727273,787,433.708259228046,465,1969,347,655,1002
"115",2019,3,"TX",1059.20209059233,1121,442.647218917271,148,1944,702.5,715,1417.5
"116",2019,3,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"117",2019,3,"VA",2046.29411764706,2449,774.262452652998,662,2520,190,2330,2520
"118",2019,3,"VT",404.090909090909,266,193.941462583664,266,763,175,266,441
"119",2019,3,"WA",1293.64285714286,1008,723.47543758666,728,2520,1213.25,790,2003.25
"120",2019,3,"WI",1047.85185185185,850,445.363525129382,641,1845,491.5,777,1268.5
"121",2019,3,"WY",1894,1894,0,1894,1894,0,1894,1894
"122",2019,4,"AL",933.958333333333,682,479.998412965372,459,1815,305,597,902
"123",2019,4,"AR",1203.9,1187,194.05259731917,912,1494,138.75,1125,1263.75
"124",2019,4,"AZ",1189.37931034483,1020,579.164879915969,304,1999,1146,668,1814
"125",2019,4,"CA",1595.84765625,1735,795.067428534243,262,2510,1592,751,2343
"126",2019,4,"CO",1228.85185185185,1491,413.251804752325,551,1709,797,862,1659
"127",2019,4,"CT",1778.70588235294,2213,892.066544932739,326,2625,1333,1194,2527
"128",2019,4,"DC",883,883,0,883,883,0,883,883
"129",2019,4,"FL",1315.6,1120,705.233946541741,192,2724,1246,842,2088
"130",2019,4,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"131",2019,4,"IA",1177.38888888889,1110,196.827526437231,910,1447,327.25,1071,1398.25
"132",2019,4,"ID",755.916666666667,688,259.271166693846,523,1282,102.25,646.75,749
"133",2019,4,"IL",912.105633802817,773,496.363309342715,177,1855,620,577,1197
"134",2019,4,"IN",1175.5,930,570.398336169349,516,1943,1113,701,1814
"135",2019,4,"KY",747.357142857143,699,253.316648043164,495,1506,30,699,729
"136",2019,4,"LA",1273.07142857143,1218,400.299015984054,488,1911,226.5,1053,1279.5
"137",2019,4,"MA",1293.88108108108,1139,812.055802938309,209,2704,1139,625,1764
"138",2019,4,"ME",493,493,0,493,493,0,493,493
"139",2019,4,"MI",1169.32558139535,1092,613.948645321346,409,2079,1334,540,1874
"140",2019,4,"MN",1178.5,1057,247.492890340775,936,1589,241.5,1057,1298.5
"141",2019,4,"MO",1151.12,1148,234.782047865675,738,1499,396,967,1363
"142",2019,4,"NC",924.672727272727,633,704.216508546264,255,2400,436,492,928
"143",2019,4,"ND",1225,1225,0,1225,1225,0,1225,1225
"144",2019,4,"NE",1181,1037,208.734965241298,1025,1433,408,1025,1433
"145",2019,4,"NJ",977,977,NA,977,977,0,977,977
"146",2019,4,"NM",1237.74074074074,1121,575.744240265962,328,1974,1184,677,1861
"147",2019,4,"NV",1368.6,2106,978.389126451547,192,2286,2036,246,2282
"148",2019,4,"NY",1275.40248962656,1084,884.059608563685,222,2619,1881,337,2218
"149",2019,4,"OH",1094.73793103448,930,650.781293488083,314,2187,1381,519,1900
"150",2019,4,"OK",1217.85714285714,1180,198.000360750032,833,1384,204,1180,1384
"151",2019,4,"OR",1016.3,751,715.463714185275,471,2497,207,569,776
"152",2019,4,"PA",1515.84615384615,2075,968.792190148283,210,2521,1376,878,2254
"153",2019,4,"SC",799.434782608696,645,515.013555470961,426,2206,76,601,677
"154",2019,4,"TN",917.6,787,431.991761285076,465,1969,347,655,1002
"155",2019,4,"TX",1057.03389830508,1121,442.460796760714,148,1944,674,733,1407
"156",2019,4,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"157",2019,4,"VA",1098.29411764706,726,882.071125583553,340,2449,1990,340,2330
"158",2019,4,"VT",324.333333333333,266,87.5,266,441,175,266,441
"159",2019,4,"WA",1406.16666666667,1008,733.442423015459,728,2520,1397,938,2335
"160",2019,4,"WI",1046.65384615385,850,454.13944486756,641,1845,586.75,777,1363.75
"161",2020,1,"AL",912.961538461538,682,466.335285456225,459,1815,294,608,902
"162",2020,1,"AR",1083.875,1187,142.326021614361,912,1187,275,912,1187
"163",2020,1,"AZ",1171.68965517241,1009,557.853097883066,304,1999,1146,668,1814
"164",2020,1,"CA",1603.49806949807,1756,793.473667028451,262,2510,1592,751,2343
"165",2020,1,"CO",1296.85714285714,1498.5,449.58444614558,551,1810,847,862,1709
"166",2020,1,"CT",1778.70588235294,2213,892.066544932739,326,2625,1333,1194,2527
"167",2020,1,"DC",883,883,0,883,883,0,883,883
"168",2020,1,"FL",1310.18115942029,1120,674.128637202468,192,2724,1017.25,846,1863.25
"169",2020,1,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"170",2020,1,"IA",1178.375,1127,177.383596246641,910,1447,256,1071,1327
"171",2020,1,"ID",755.916666666667,688,259.271166693846,523,1282,102.25,646.75,749
"172",2020,1,"IL",938.372262773723,783,502.11971280731,177,1855,665,594,1259
"173",2020,1,"IN",1175.5,930,570.398336169349,516,1943,1113,701,1814
"174",2020,1,"KY",689,699,133.663133785398,495,910,30,699,729
"175",2020,1,"LA",1273.07142857143,1218,400.299015984054,488,1911,226.5,1053,1279.5
"176",2020,1,"MA",1316.64406779661,1142,819.402555969173,209,2704,1480,625,2105
"177",2020,1,"ME",924,885,474.06581821515,493,1394,871.75,493,1364.75
"178",2020,1,"MI",1163.57777777778,1044,600.43822969292,409,2079,1334,540,1874
"179",2020,1,"MN",1178.5,1057,247.492890340775,936,1589,241.5,1057,1298.5
"180",2020,1,"MO",1147.15384615385,1148,230.925735648098,738,1499,376.75,986.25,1363
"181",2020,1,"MT",1166.07142857143,908,484.54061737909,807,1902,775.5,878,1653.5
"182",2020,1,"NC",984.130434782609,595,756.574021015368,255,2400,1071.75,492,1563.75
"183",2020,1,"ND",1161.33333333333,1165,58.6537864648708,1094,1225,98.25,1111.75,1210
"184",2020,1,"NE",1182.8,1113.5,184.126043785229,1025,1433,344.25,1028,1372.25
"185",2020,1,"NJ",977,977,NA,977,977,0,977,977
