Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,33198,32575,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",13198,12892,MCI,LAX,1363,664,216.28,WN,0.3604,226.52,NK,0.298,117.31,1754
2024,1,31423,31703,"Des Moines, IA","New York City, NY (Metropolitan Area)",11423,12391,DSM,ISP,1071,0,143,F9,1,143,F9,1,143,961
2024,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",10372,12478,ASE,JFK,1750,13,624.5,AA,0.6387,572.33,AA,0.6387,572.33,217
2024,1,30977,33105,"Chicago, IL","Cincinnati, OH",13232,11193,MDW,CVG,264,91,169.61,WN,0.9832,167.32,WN,0.9832,167.32,765
2024,1,31650,30852,"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",13487,10821,MSP,BWI,936,340,233.53,DL,0.5863,255.49,WN,0.3552,197.95,1105
2024,1,30977,31454,"Chicago, IL","Orlando, FL",13930,13204,ORD,MCO,1005,3241,207.12,UA,0.4586,235.71,NK,0.1213,119.85,725
2024,1,30721,32211,"Boston, MA (Metropolitan Area)","Las Vegas, NV",13296,12889,MHT,LAS,2381,26,317.04,WN,0.6807,273.07,WN,0.6807,273.07,548
2024,1,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",10792,14908,BUF,SNA,2218,24,367.75,WN,0.3256,306.63,WN,0.3256,306.63,657
2024,1,32467,33214,"Miami, FL (Metropolitan Area)","San Antonio, TX",13303,14683,MIA,SAT,1145,207,288.22,AA,0.7147,282.18,WN,0.1532,252.19,1447
2024,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10397,10800,ATL,BUR,1947,43,322.27,WN,0.6134,250.98,WN,0.6134,250.98,249
2024,1,31603,30466,"Eugene, OR","Phoenix, AZ",11603,10466,EUG,AZA,971,66,103.23,G4,1,103.23,G4,1,103.23,1083
2024,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",14307,13891,PVD,ONT,2611,7,317.37,AA,0.5152,318.6,WN,0.1364,210.67,581
2024,1,33198,32575,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",13198,14908,MCI,SNA,1363,104,292.06,WN,0.5159,278.8,WN,0.5159,278.8,1757
2024,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",11618,13796,EWR,OAK,2608,203,130.67,NK,0.9875,127.67,NK,0.9875,127.67,1161
2024,1,30977,34492,"Chicago, IL","Raleigh/Durham, NC",13930,14492,ORD,RDU,646,673,231.89,AA,0.5225,241.65,UA,0.435,216.93,799
2024,1,31703,34262,"New York City, NY (Metropolitan Area)","Palm Springs, CA",11618,14262,EWR,PSP,2381,83,434.24,UA,0.53,478.19,AA,0.3742,346.88,1222
