"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"43",2020,1,"Frontier Airlines, Inc.",0.470014285714286,0.447,0.12417891470432,0.2681,0.7394,0.0898250000000001,0.412675,0.5025
"44",2020,1,"Jetblue Airways Corporation",0.6841775,0.65875,0.183702553316324,0.3185,1,0.27525,0.54965,0.8249
"45",2020,1,"Southwest Airlines",0.753039378238342,0.7781,0.205680151135784,0.2812,1,0.3833,0.58115,0.96445
"46",2020,1,"Spirit Airlines, Inc.",0.6279,0.6313,0.212646067445415,0.2941,1,0.23565,0.4965,0.73215
"47",2020,1,"United Air Lines, Inc.",0.718931481481481,0.75895,0.206460947839845,0.2655,1,0.37845,0.531975,0.910425
"48",2020,2,"Alaska Airlines, Inc.",0.618154716981132,0.5979,0.153192072206552,0.3212,1,0.1739,0.523,0.6969
"49",2020,2,"Allegiant Air LLC ",0.893524358974359,1,0.205694166611878,0.3237,1,0,1,1
"50",2020,2,"American Airlines, Inc.",0.727541628959276,0.7397,0.205352763430887,0.2162,1,0.38305,0.541,0.92405
"51",2020,2,"Delta Air Lines, Inc.",0.687315909090909,0.64835,0.223312649699835,0.2543,1,0.42245,0.50175,0.9242
"52",2020,2,"Frontier Airlines, Inc.",0.66278,0.6058,0.202599856860759,0.4874,1,0.1481,0.5363,0.6844
"53",2020,2,"Jetblue Airways Corporation",0.664826530612245,0.6497,0.162576686745453,0.3446,1,0.2318,0.533,0.7648
"54",2020,2,"Southwest Airlines",0.800996557120501,0.8524,0.193696442177614,0.2519,1,0.3522,0.6378,0.99
"55",2020,2,"Spirit Airlines, Inc.",0.530433333333333,0.50515,0.142304837116195,0.3286,0.7679,0.0566249999999999,0.5014,0.558025
"56",2020,2,"Sun Country Airlines",0.4931,0.4551,0.0913347688451665,0.4269,0.5973,0.0852,0.441,0.5262
"57",2020,2,"United Air Lines, Inc.",0.687997604790419,0.676,0.189630578069062,0.2508,1,0.32275,0.5217,0.84445
"58",2020,3,"Alaska Airlines, Inc.",0.614350943396226,0.6,0.173433480512139,0.2592,1,0.2407,0.4735,0.7142
"59",2020,3,"Allegiant Air LLC ",0.866130612244898,1,0.230237435600079,0.3155,1,0.1757,0.8243,1
"60",2020,3,"American Airlines, Inc.",0.735613131313131,0.75,0.219350763883641,0.2358,1,0.4343,0.5317,0.966
"61",2020,3,"Delta Air Lines, Inc.",0.655613548387097,0.625,0.199577886393576,0.296,1,0.2831,0.50575,0.78885
"62",2020,3,"Frontier Airlines, Inc.",0.4752,0.3883,0.24112473259014,0.2766,0.9762,0.13745,0.3526,0.49005
"63",2020,3,"Jetblue Airways Corporation",0.627235416666667,0.59665,0.176763693068053,0.2776,1,0.136625,0.533675,0.6703
"64",2020,3,"Southwest Airlines",0.783842857142857,0.821,0.20172968416557,0.2455,1,0.370375,0.6088,0.979175
"65",2020,3,"Spirit Airlines, Inc.",0.596847368421053,0.6386,0.21692789987157,0.2667,0.9784,0.3318,0.4091,0.7409
"66",2020,3,"Sun Country Airlines",0.4804,0.4804,0.0114551298552221,0.4723,0.4885,0.0081,0.47635,0.48445
