"","year","quarter","lms_carrier_name","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"46",2020,1,"Spirit Airlines, Inc.",144.086363636364,138.28,33.8223536356438,88.65,198.44,39.77,128.165,167.935
"47",2020,1,"United Air Lines, Inc.",250.898259259259,240.775,64.7155992032055,137.96,503.84,84.38,203.63,288.01
"48",2020,2,"Alaska Airlines, Inc.",205.405283018868,193.45,48.9576049959308,133.29,297.93,93,164.24,257.24
"49",2020,2,"Allegiant Air LLC ",97.9705128205128,83.61,33.7582743641509,69.13,203.58,16.5,78.855,95.355
"50",2020,2,"American Airlines, Inc.",206.149487179487,205.02,60.8740368265104,71,750,77.17,162.76,239.93
"51",2020,2,"Delta Air Lines, Inc.",212.482424242424,211.165,63.5683710795847,80.45,465,90.1825,165.935,256.1175
"52",2020,2,"Frontier Airlines, Inc.",125.952,136.97,27.3941037451492,85.89,150.99,35.79,110.06,145.85
"53",2020,2,"Jetblue Airways Corporation",212.494897959184,202.41,53.2073490037815,112.8,334.76,71.21,176.56,247.77
"54",2020,2,"Southwest Airlines",165.300109546166,162.31,39.8215806572032,79.87,423,56.7,134.145,190.845
"55",2020,2,"Spirit Airlines, Inc.",141.615,140.7,21.5331091577598,113.1,167.46,31.2725,127.4375,158.71
"56",2020,2,"Sun Country Airlines",171.456666666667,164.31,21.0026434844125,154.96,195.1,20.07,159.635,179.705
"57",2020,2,"United Air Lines, Inc.",225.999161676647,217.75,54.7306810985379,141.14,540,73.815,184.695,258.51
"58",2020,3,"Alaska Airlines, Inc.",174.394150943396,163.02,41.7159484090807,113.39,294.81,66.77,139.4,206.17
"59",2020,3,"Allegiant Air LLC ",95.5155102040816,82.69,27.9549856958486,65.41,178.06,30.29,77.56,107.85
"60",2020,3,"American Airlines, Inc.",187.066825396825,184.1,55.4047944521847,79.67,1037.2,61.72,152.01,213.73
"61",2020,3,"Delta Air Lines, Inc.",191.240709677419,182.44,58.9452535801056,101,494.5,75.44,145.245,220.685
"62",2020,3,"Frontier Airlines, Inc.",126.15,117.78,31.1423794851967,78.11,170.39,36.655,110.865,147.52
"63",2020,3,"Jetblue Airways Corporation",170.721458333333,155.815,47.2968496989497,99.62,287.87,41.64,143.145,184.785
"64",2020,3,"Southwest Airlines",156.685603174603,153.34,31.8429823732664,89.4,311.2,46.945,131.2075,178.1525
"65",2020,3,"Spirit Airlines, Inc.",127.605789473684,126.1,25.4399046372666,85.77,178.04,40.85,106.885,147.735
"66",2020,3,"Sun Country Airlines",128.075,128.075,18.9999592104825,114.64,141.51,13.435,121.3575,134.7925
"67",2020,3,"United Air Lines, Inc.",184.878371040724,174.79,58.0691818207768,115.09,667.5,53.98,150.84,204.82
"68",2020,4,"Alaska Airlines, Inc.",164.057407407407,160.315,34.5253630688865,112.89,247.81,45.685,134.965,180.65
"69",2020,4,"Allegiant Air LLC ",97.9353968253968,90.57,25.6794943816039,69.26,221,16.485,82.195,98.68
"70",2020,4,"American Airlines, Inc.",197.666393162393,195.05,59.3326148194883,90.5,900,63.19,162.14,225.33
"71",2020,4,"Delta Air Lines, Inc.",195.306331658291,191.36,51.6076884698644,94.74,380.98,69.57,156.475,226.045
"72",2020,4,"Frontier Airlines, Inc.",122.59875,119.76,27.4498938002109,80.69,161.72,29.43,107.9725,137.4025
"73",2020,4,"Jetblue Airways Corporation",154.942156862745,148.8,35.2945150024037,98.89,276.92,26.685,134.785,161.47
"74",2020,4,"Southwest Airlines",169.313005008347,166.07,37.658031015773,61.3,374.67,55.05,139.17,194.22
"75",2020,4,"Spirit Airlines, Inc.",137.206,135.7,36.6406074107481,91.34,228.35,51.385,106.27,157.655
"76",2020,4,"United Air Lines, Inc.",184.756654135338,174.615,59.9857509596813,110.13,835,68.4925,146.22,214.7125
"77",2021,1,"Alaska Airlines, Inc.",169.423015873016,163.35,39.923291149925,115.47,298.54,54.465,138.495,192.96
"78",2021,1,"Allegiant Air LLC ",102.564246575342,97.87,26.1195348306912,71.79,219.41,18.86,87.62,106.48
"79",2021,1,"American Airlines, Inc.",203.674867256637,200.98,53.5227361232483,99.74,461,72.22,162.94,235.16
"80",2021,1,"Delta Air Lines, Inc.",195.406048780488,188.52,50.368034540063,111.25,451.97,71.52,157.59,229.11
"81",2021,1,"Frontier Airlines, Inc.",143.541666666667,139.025,23.7977456215219,113.06,183.89,17.08,133.56,150.64
"82",2021,1,"Jetblue Airways Corporation",167.076603773585,159.05,41.7018081577819,107.53,283.13,48.68,139.2,187.88
"83",2021,1,"Southwest Airlines",171.80584717608,168.935,46.5570450196491,74.47,722,64.0175,137.875,201.8925
"84",2021,1,"Spirit Airlines, Inc.",134,137.38,37.7079492945453,86.89,216.52,46.015,101.72,147.735
"85",2021,1,"United Air Lines, Inc.",197.687008196721,189.62,54.3823014024516,104.53,380.81,77.825,154.1475,231.9725
"86",2021,2,"Alaska Airlines, Inc.",178.346607142857,168.59,43.7720966443562,105.83,304.88,56.8275,144.8825,201.71
"87",2021,2,"Allegiant Air LLC ",106.52703125,94.245,31.906372836074,68.89,214.98,40.255,82.83,123.085
"88",2021,2,"American Airlines, Inc.",234.470348652932,225.45,70.5975177822925,110,967,76.665,189.055,265.72
"89",2021,2,"Delta Air Lines, Inc.",216.100301724138,208.05,58.2428823988392,113.77,478.83,82.0925,171.505,253.5975
"90",2021,2,"Frontier Airlines, Inc.",168.353333333333,151.19,76.6956368163579,96.64,314.5,42.14,127.9525,170.0925
"91",2021,2,"Jetblue Airways Corporation",200.02828125,194.42,46.5979602235871,124.93,371.61,51.4725,167.39,218.8625
"92",2021,2,"Southwest Airlines",193.06916918429,186.08,52.2581654426921,86.52,650,70.0025,155.4975,225.5
"93",2021,2,"Spirit Airlines, Inc.",150.662380952381,128.11,47.0010773179469,85.85,250.58,64.79,114.62,179.41
"94",2021,2,"United Air Lines, Inc.",217.070353535354,203.96,55.6266770933057,109.07,408.78,76.6675,176.97,253.6375
"95",2021,3,"Alaska Airlines, Inc.",184.746808510638,171.35,46.7527317084431,110,308.48,68.785,151.01,219.795
"96",2021,3,"Allegiant Air LLC ",108.134545454545,88.24,41.2755515394059,60.14,229.15,35.95,80.08,116.03
"97",2021,3,"American Airlines, Inc.",244.890891089109,237.92,73.4361767145071,107,892,92.0425,192.4725,284.515
"98",2021,3,"Delta Air Lines, Inc.",227.116279069767,222.67,65.993850162364,109.14,439.67,93.525,174.3875,267.9125
"99",2021,3,"Frontier Airlines, Inc.",141.162666666667,132.98,30.8896056180408,99.91,196.84,56.19,115.51,171.7
"100",2021,3,"Jetblue Airways Corporation",212.498684210526,196.94,63.3520345022869,105.76,491.5,71.975,169.5325,241.5075
"101",2021,3,"Southwest Airlines",201.075642857143,193.115,56.4533867703329,97.65,523,80.02,157.7125,237.7325
"102",2021,3,"Spirit Airlines, Inc.",155.111333333333,146.6,45.7575960698903,80,260.17,61.38,122.98,184.36
"103",2021,3,"United Air Lines, Inc.",223.939961389961,211.59,63.4555454751505,122.41,427,91.075,173.985,265.06
"104",2021,4,"Alaska Airlines, Inc.",202.262222222222,192.26,46.6423606182235,113.56,312.29,71.42,167.18,238.6
"105",2021,4,"Allegiant Air LLC ",115.297358490566,102.74,34.2083494728622,73.49,206.24,28,92.5,120.5
"106",2021,4,"American Airlines, Inc.",242.396746323529,233.92,87.0338598209002,95,1664,91.0675,192.81,283.8775
"107",2021,4,"Casino Express",113.286666666667,110.53,8.21934506717739,106.8,122.53,7.86500000000001,108.665,116.53
"108",2021,4,"Compania Mexicana De Aviaci",139.371666666667,138.55,7.68952902762365,130.32,152.81,5.86000000000001,135.2075,141.0675
"109",2021,4,"Delta Air Lines, Inc.",219.155864978903,206.79,60.5374220356917,122.37,406.86,86,171.45,257.45
"110",2021,4,"Frontier Airlines, Inc.",139.705625,134.885,36.9497523615969,91.34,203.96,65.62,109.6875,175.3075
"111",2021,4,"Jetblue Airways Corporation",209.9840625,206.605,56.3380493861027,114.06,357.59,85.6875,160.32,246.0075
"112",2021,4,"Southwest Airlines",200.683832853026,194.625,51.7703253600501,103.78,379.33,75.3475,159.875,235.2225
"113",2021,4,"Spirit Airlines, Inc.",192.187333333333,198.82,53.2621400603611,128.19,299.88,84.905,140.81,225.715
"114",2021,4,"Sun Country Airlines",232.986,216.25,107.614076356209,121.79,381,152.11,146.89,299
"115",2021,4,"United Air Lines, Inc.",216.316028368794,204.5,59.4056422470899,121.76,422.87,88.475,167.085,255.56
"116",2022,1,"Alaska Airlines, Inc.",210.5106,195.87,47.7277324256013,139.9,357.64,53.6575,181.3175,234.975
"117",2022,1,"Allegiant Air LLC ",117.949473684211,106.46,35.1681463736846,67.91,223,35.01,95.71,130.72
"118",2022,1,"American Airlines, Inc.",242.093472222222,232.645,71.5014231756985,80.5,779.36,95.0625,191.1,286.1625
"119",2022,1,"Casino Express",101.455,100.665,3.94884371261597,97.57,106.92,3.14000000000001,99.49,102.63
