"","year","quarter","statecode1","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"51",2019,2,"IA",0.56021875,0.49585,0.185377115519509,0.2848,1,0.1938,0.44685,0.64065
"52",2019,2,"ID",0.68274,0.7008,0.228316024648098,0.3429,1,0.378925,0.4854,0.864325
"53",2019,2,"IL",0.753663945578231,0.7742,0.229345090210154,0.3302,1,0.44935,0.5352,0.98455
"54",2019,2,"IN",0.684845454545455,0.676,0.204015031489332,0.3478,1,0.353775,0.5093,0.863075
"55",2019,2,"KY",0.769014285714286,0.78575,0.14960601004558,0.5503,1,0.227,0.648675,0.875675
"56",2019,2,"LA",0.674128571428571,0.6382,0.158993456220308,0.4515,0.9385,0.258375,0.557975,0.81635
"57",2019,2,"MA",0.634480434782609,0.58155,0.212372562231756,0.306,1,0.353,0.46155,0.81455
"58",2019,2,"ME",0.973866666666667,0.9738,0.0062002688113769,0.9677,0.9801,0.00619999999999998,0.97075,0.97695
"59",2019,2,"MI",0.657982926829268,0.633,0.192107167880898,0.2823,1,0.2888,0.5117,0.8005
"60",2019,2,"MN",0.6269,0.61615,0.174116062087686,0.3709,0.8716,0.30225,0.488775,0.791025
"61",2019,2,"MO",0.713255555555556,0.7436,0.163287734084848,0.4731,1,0.28935,0.56175,0.8511
"62",2019,2,"MT",0.76834,0.7652,0.0884976440364375,0.6646,0.8917,0.102,0.7091,0.8111
"63",2019,2,"NC",0.764859615384615,0.7801,0.172744569744811,0.3255,1,0.3097,0.63135,0.94105
"64",2019,2,"ND",0.78965,0.78965,0.297479822845181,0.5793,1,0.21035,0.684475,0.894825
"65",2019,2,"NE",0.68333,0.6241,0.209147438956881,0.3794,1,0.218625,0.596025,0.81465
"66",2019,2,"NJ",1,1,NA,1,1,0,1,1
"67",2019,2,"NM",0.7244,0.7694,0.210300054866667,0.3313,1,0.33985,0.5496,0.88945
"68",2019,2,"NV",0.65007,0.63735,0.223726876516573,0.2913,1,0.31555,0.484825,0.800375
"69",2019,2,"NY",0.73427366255144,0.7273,0.213266058093822,0.2769,1,0.42265,0.54295,0.9656
"70",2019,2,"OH",0.684485810810811,0.66565,0.219843234502409,0.2857,1,0.376975,0.5087,0.885675
"71",2019,2,"OK",0.685457142857143,0.6893,0.130442539803839,0.5212,0.8467,0.2208,0.57485,0.79565
"72",2019,2,"OR",0.648236842105263,0.6215,0.191792796790142,0.3429,1,0.22395,0.51565,0.7396
"73",2019,2,"PA",0.738576923076923,0.7572,0.213198788903088,0.3981,1,0.3692,0.6095,0.9787
"74",2019,2,"SC",0.724232653061225,0.7393,0.196376285681931,0.3482,0.9824,0.3248,0.5886,0.9134
"75",2019,2,"TN",0.692217391304348,0.6558,0.204370122087189,0.332,1,0.374,0.52145,0.89545
"76",2019,2,"TX",0.821463513513514,0.9083,0.185317006874989,0.3028,1,0.3253,0.652025,0.977325
"77",2019,2,"UT",0.577614285714286,0.6028,0.0697933002651742,0.4654,0.6587,0.0803,0.53895,0.61925
"78",2019,2,"VA",0.621192857142857,0.58515,0.223945733345193,0.3642,1,0.342375,0.408875,0.75125
"79",2019,2,"VT",0.937222222222222,0.9865,0.111987050342638,0.665,1,0.0349,0.9651,1
"80",2019,2,"WA",0.677718181818182,0.5939,0.205088706749942,0.4194,0.9692,0.32105,0.55445,0.8755
"81",2019,2,"WI",0.737046428571429,0.76055,0.193400341801649,0.3788,1,0.3091,0.594025,0.903125
"82",2019,3,"AL",0.692726086956522,0.7619,0.216449778381187,0.2954,0.9843,0.33,0.5583,0.8883
"83",2019,3,"AR",0.653426315789474,0.6667,0.189445940228356,0.2564,1,0.18745,0.5434,0.73085
"84",2019,3,"AZ",0.635124,0.6605,0.194613482917637,0.3689,1,0.2744,0.4616,0.736
"85",2019,3,"CA",0.618493962264151,0.6058,0.196955873676133,0.2639,1,0.3053,0.4533,0.7586
"86",2019,3,"CO",0.625513793103448,0.609,0.20059089269338,0.3009,0.9915,0.2363,0.5025,0.7388
"87",2019,3,"CT",0.635311764705882,0.5858,0.24828787445814,0.2821,0.9964,0.524,0.3908,0.9148
"88",2019,3,"DC",0.6135,0.5045,0.232157618871318,0.4559,0.8801,0.2121,0.4802,0.6923
"89",2019,3,"FL",0.673311320754717,0.67475,0.200698956896122,0.3021,1,0.329975,0.5152,0.845175
"90",2019,3,"GA",0.649942105263158,0.6268,0.164948468007893,0.3695,0.9632,0.22405,0.515225,0.739275
"91",2019,3,"IA",0.590325,0.52545,0.219964650190282,0.2581,1,0.2931,0.44065,0.73375
"92",2019,3,"ID",0.662572727272727,0.7145,0.193211413176909,0.3652,0.9417,0.3192,0.5018,0.821
"93",2019,3,"IL",0.760104054054054,0.8186,0.23141268783776,0.3192,1,0.42705,0.558025,0.985075
"94",2019,3,"IN",0.666590909090909,0.6436,0.196049624206513,0.3472,1,0.34545,0.488975,0.834425
"95",2019,3,"KY",0.771853846153846,0.809,0.155568434112797,0.525,1,0.2487,0.6366,0.8853
"96",2019,3,"LA",0.650678571428571,0.62545,0.161997090090539,0.3779,0.9375,0.216575,0.536575,0.75315
"97",2019,3,"MA",0.635083076923077,0.583,0.208898281296491,0.2712,1,0.36475,0.46915,0.8339
"98",2019,3,"ME",0.8715625,0.9803,0.236062582122986,0.3333,1,0.0863499999999999,0.90495,0.9913
"99",2019,3,"MI",0.649212195121951,0.6471,0.191162573736495,0.3546,1,0.2704,0.508,0.7784
"100",2019,3,"MN",0.643842857142857,0.7083,0.175917903555064,0.38,0.8632,0.303825,0.4804,0.784225
"101",2019,3,"MO",0.700442307692308,0.71405,0.161342594929118,0.4642,1,0.289975,0.5607,0.850675
"102",2019,3,"MT",0.680552941176471,0.718,0.177702223247372,0.3347,0.9091,0.3184,0.5062,0.8246
