"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"67",2019,2,"NM",188.222222222222,176,184.118969342637,1,768,163,75,238
"68",2019,2,"NV",907.466666666667,593,1008.97830650044,11,3675,1342.75,86.25,1429
"69",2019,2,"NY",305.617283950617,73,670.884636803063,0,4974,246.5,6,252.5
"70",2019,2,"OH",224.02027027027,92.5,257.502670736948,0,1011,346.75,22.5,369.25
"71",2019,2,"OK",160.285714285714,155,115.963664259851,32,346,154.5,70,224.5
"72",2019,2,"OR",340.263157894737,65,552.930058074986,0,1946,309.5,23,332.5
"73",2019,2,"PA",515,161,625.253815128971,45,1761,644,92,736
"74",2019,2,"SC",146.265306122449,64,181.056134885267,1,818,197,15,212
"75",2019,2,"TN",239.847826086957,156.5,315.605729239034,1,1492,242,34.25,276.25
"76",2019,2,"TX",420.631756756757,255,484.324218559226,1,3237,448.75,115.75,564.5
"77",2019,2,"UT",537.571428571429,542,239.9276676715,235,853,370.5,348,718.5
"78",2019,2,"VA",124.071428571429,77.5,124.921799714686,13,402,138.5,29,167.5
"79",2019,2,"VT",74.7777777777778,63,93.7826980015208,0,259,81,0,81
"80",2019,2,"WA",380.909090909091,312,358.102905474238,2,1092,539,76,615
"81",2019,2,"WI",159.714285714286,48,219.055524357006,1,760,239.75,7.75,247.5
"82",2019,3,"AL",111.521739130435,86,93.7185678533038,1,287,152,22.5,174.5
"83",2019,3,"AR",55.7894736842105,26,69.3257840019526,0,231,80.5,7.5,88
"84",2019,3,"AZ",667.84,452,638.537892376012,62,2812,722,250,972
"85",2019,3,"CA",474.750943396226,102,914.826232800906,0,7857,437,26,463
"86",2019,3,"CO",1026.79310344828,950,981.170488291202,10,3590,1239,162,1401
"87",2019,3,"CT",220.941176470588,182,211.50516264037,2,710,249,59,308
"88",2019,3,"DC",229,285,171.979649958941,36,366,165,160.5,325.5
"89",2019,3,"FL",480.367924528302,296.5,613.298270097204,2,3006,430.75,89.5,520.25
"90",2019,3,"GA",1132.42105263158,889.5,1088.24467220007,13,4353,1679.5,157.25,1836.75
"91",2019,3,"IA",80.625,42.5,92.6397143058347,0,265,99.25,11.5,110.75
"92",2019,3,"ID",191.181818181818,175,141.240092170614,31,493,161.5,87.5,249
"93",2019,3,"IL",669.608108108108,311,958.804738019216,1,6742,668.5,118.75,787.25
"94",2019,3,"IN",265.863636363636,197,221.361650968456,5,762,359.25,100.25,459.5
"95",2019,3,"KY",148.538461538462,101,127.528830325157,6,363,233,18,251
"96",2019,3,"LA",404.357142857143,343.5,334.402246758844,3,935,599,133,732
"97",2019,3,"MA",403.292307692308,93,713.440756534734,0,3949,366.5,32.5,399
"98",2019,3,"ME",124.875,105,134.681038542391,0,328,185.25,0.75,186
"99",2019,3,"MI",382.585365853659,157,497.208003536234,2,1992,496,51,547
"100",2019,3,"MN",710.642857142857,539.5,636.263806819256,9,1798,1065,145.75,1210.75
"101",2019,3,"MO",305.576923076923,188.5,296.741931391831,7,1127,390.75,51.75,442.5
"102",2019,3,"MT",61,29,71.7774337797054,1,231,75,12,87
"103",2019,3,"NC",358.725490196078,192,434.759109320615,0,1927,501,43,544
"104",2019,3,"NE",156.5,76,148.853715343046,35,383,219.5,44.25,263.75
"105",2019,3,"NJ",340,340,NA,340,340,0,340,340
"106",2019,3,"NM",192.074074074074,165,183.228089450097,1,800,177,70,247
"107",2019,3,"NV",881.3,587.5,1013.15159195249,14,3761,1154.75,99.25,1254
"108",2019,3,"NY",302.297872340426,89,656.729631072626,0,4766,256,8,264
"109",2019,3,"OH",211.219178082192,84.5,249.252551417805,0,928,328.25,19,347.25
"110",2019,3,"OK",144.285714285714,151,100.368843581585,30,312,127.5,65.5,193
"111",2019,3,"OR",304.818181818182,64,513.35837629362,1,1844,283,22.5,305.5
"112",2019,3,"PA",455.384615384615,140,534.933101496741,48,1652,547,100,647
"113",2019,3,"SC",142.102040816327,85,162.891482908351,0,702,180,14,194
"114",2019,3,"TN",223.113636363636,137.5,293.136067771146,2,1415,216.5,31.5,248
"115",2019,3,"TX",414.250871080139,240,495.785348380546,1,3729,427,116,543
"116",2019,3,"UT",541.714285714286,529,247.95612131028,236,888,380.5,344.5,725
"117",2019,3,"VA",104.470588235294,38,127.974175933594,2,413,138,21,159
"118",2019,3,"VT",93.2727272727273,67,103.924098176593,0,286,174,0.5,174.5
"119",2019,3,"WA",327.357142857143,203.5,370.683694136795,1,1136,494.5,12,506.5
"120",2019,3,"WI",161.962962962963,53,207.03000181718,1,787,275,11,286
"121",2019,3,"WY",61.75,61,50.1290002560062,6,119,64.25,29.25,93.5
"122",2019,4,"AL",128.583333333333,116,108.160877226097,1,352,187,24.75,211.75
"123",2019,4,"AR",51.05,23.5,65.192407533393,0,238,68.5,3.5,72
"124",2019,4,"AZ",711.275862068965,458,704.573928826682,0,3073,1007,162,1169
"125",2019,4,"CA",494.7421875,98,925.73669018062,0,8103,520.25,32,552.25
"126",2019,4,"CO",1050,996,955.041843626196,9,3470,1039,250.5,1289.5
"127",2019,4,"CT",232.470588235294,196,233.692671485184,1,754,266,61,327
"128",2019,4,"DC",383.666666666667,391,331.060920879124,49,711,331,220,551
"129",2019,4,"FL",494.184,238,665.032455962768,0,3595,490,80,570
"130",2019,4,"GA",1156.94736842105,890.5,1098.75150148699,14,4562,1722.75,186.75,1909.5
"131",2019,4,"IA",85.8888888888889,51.5,102.006279442746,0,388,101.5,15.75,117.25
"132",2019,4,"ID",188.75,156.5,154.423340793476,39,516,145.5,78.5,224
