"","year","quarter","lms_carrier_name","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"54",2020,2,"Southwest Airlines",50.3380281690141,28,61.5240476714091,0,579,58,10,68
"55",2020,2,"Spirit Airlines, Inc.",80.5,65,83.8731184587768,7,223,94.75,15,109.75
"56",2020,2,"Sun Country Airlines",331.333333333333,387,158.032697038725,153,454,150.5,270,420.5
"57",2020,2,"United Air Lines, Inc.",40.4610778443114,21,57.0517360329501,0,362,36,9,45
"58",2020,3,"Alaska Airlines, Inc.",236.811320754717,163,283.873350457814,0,1335,228,44,272
"59",2020,3,"Allegiant Air LLC ",41.1836734693878,37,28.7783725719707,3,109,47,13,60
"60",2020,3,"American Airlines, Inc.",81.018759018759,30,147.832454551391,0,1484,80,5,85
"61",2020,3,"Delta Air Lines, Inc.",167.567741935484,84,242.953472627479,0,1517,185,11.5,196.5
"62",2020,3,"Frontier Airlines, Inc.",147.857142857143,151,68.8656386776177,9,225,37,144,181
"63",2020,3,"Jetblue Airways Corporation",199.9375,119.5,184.637241379564,2,797,228.75,66.75,295.5
"64",2020,3,"Southwest Airlines",100.139682539683,50.5,127.341445463794,0,992,112.5,19,131.5
"65",2020,3,"Spirit Airlines, Inc.",141.263157894737,62,139.33446654454,5,427,196,45,241
"66",2020,3,"Sun Country Airlines",332.5,332.5,416.485894118877,38,627,294.5,185.25,479.75
"67",2020,3,"United Air Lines, Inc.",129.981900452489,68,179.982952824097,0,1173,102,31,133
"68",2020,4,"Alaska Airlines, Inc.",273.592592592593,166,320.73044689698,2,1695,228.25,85.5,313.75
"69",2020,4,"Allegiant Air LLC ",67.015873015873,64,45.3216077724565,0,209,55.5,32.5,88
"70",2020,4,"American Airlines, Inc.",106.753846153846,34,191.723904985495,0,1729,102,6,108
"71",2020,4,"Delta Air Lines, Inc.",209.979899497487,94,303.501584370068,0,1617,222,17,239
"72",2020,4,"Frontier Airlines, Inc.",127.625,71.5,125.999929138302,7,307,208,32.75,240.75
"73",2020,4,"Jetblue Airways Corporation",251.686274509804,148,245.33409793146,22,949,194.5,102.5,297
"74",2020,4,"Southwest Airlines",113.54590984975,51,153.268615096865,0,1325,130.5,17.5,148
"75",2020,4,"Spirit Airlines, Inc.",145.733333333333,63,179.540073786434,0,628,189,19,208
"76",2020,4,"United Air Lines, Inc.",187.093984962406,92.5,248.646757472159,0,1595,168.75,37.25,206
"77",2021,1,"Alaska Airlines, Inc.",222.904761904762,139,294.136116958695,0,1787,202,62,264
"78",2021,1,"Allegiant Air LLC ",82.6986301369863,77,62.1802230374442,2,349,64,40,104
"79",2021,1,"American Airlines, Inc.",108.8,29,200.748662590601,0,1506,114,4,118
"80",2021,1,"Delta Air Lines, Inc.",235.014634146341,90,345.274521044967,0,1883,270,16,286
"81",2021,1,"Frontier Airlines, Inc.",129.5,79.5,115.387607653508,16,316,128.75,62.75,191.5
"82",2021,1,"Jetblue Airways Corporation",369.849056603774,223,400.047516227107,25,1565,426,106,532
"83",2021,1,"Southwest Airlines",116.287375415282,49,162.323198502663,0,1468,133,18,151
"84",2021,1,"Spirit Airlines, Inc.",119.727272727273,93,94.1297943364277,20,281,123,55,178
"85",2021,1,"United Air Lines, Inc.",199,95,287.996399154444,0,1857,173.25,38.75,212
"86",2021,2,"Alaska Airlines, Inc.",552.410714285714,341,636.377240230287,4,3122,638.75,125,763.75
"87",2021,2,"Allegiant Air LLC ",112.375,98.5,80.2380387169506,1,417,115.75,42.5,158.25
"88",2021,2,"American Airlines, Inc.",198.877971473851,54,379.682163661743,0,3129,188.5,7,195.5
"89",2021,2,"Delta Air Lines, Inc.",458.306034482759,218,623.293109120298,0,4822,521.5,51,572.5
"90",2021,2,"Frontier Airlines, Inc.",120.333333333333,61,150.486765752563,0,398,131,25.5,156.5
"91",2021,2,"Jetblue Airways Corporation",611.03125,340.5,690.630927755929,22,3000,444,193,637
"92",2021,2,"Southwest Airlines",209.249244712991,95,278.548881503266,0,2266,259.75,34,293.75
"93",2021,2,"Spirit Airlines, Inc.",307.142857142857,280,238.325677532717,32,879,313,121,434
"94",2021,2,"United Air Lines, Inc.",407.010101010101,188.5,542.464445861989,1,3334,362.25,88.25,450.5
"95",2021,3,"Alaska Airlines, Inc.",683.404255319149,378,831.230299788119,0,3814,658,143,801
"96",2021,3,"Allegiant Air LLC ",101.090909090909,86,78.4831363644617,0,410,115.5,38,153.5
"97",2021,3,"American Airlines, Inc.",233.13696369637,69,439.199970705589,0,4041,224,9,233
"98",2021,3,"Delta Air Lines, Inc.",500.232558139535,248.5,725.323896645349,0,6175,644.25,32.25,676.5
"99",2021,3,"Frontier Airlines, Inc.",346.466666666667,241,322.58107877083,2,891,510,75.5,585.5
"100",2021,3,"Jetblue Airways Corporation",564.486842105263,315,665.294992083383,0,3147,366.25,208.25,574.5
"101",2021,3,"Southwest Airlines",226.982857142857,102.5,318.402615791545,0,2713,244.25,34.75,279
"102",2021,3,"Spirit Airlines, Inc.",228.2,165,170.434822062361,0,516,220.5,110,330.5
"103",2021,3,"United Air Lines, Inc.",472.389961389961,205,656.214684140626,1,4326,391.5,103.5,495
"104",2021,4,"Alaska Airlines, Inc.",749.4,510,761.120358419087,12,3248,832,214,1046
"105",2021,4,"Allegiant Air LLC ",95.3962264150943,69,75.8351804960655,0,283,105,34,139
"106",2021,4,"American Airlines, Inc.",283.349264705882,90.5,494.502569491144,0,3994,272.25,16,288.25
"107",2021,4,"Casino Express",58.3333333333333,58,36.5011415346607,22,95,36.5,40,76.5
"108",2021,4,"Compania Mexicana De Aviaci",147.333333333333,123.5,82.4928279710828,55,264,111.75,94.25,206
"109",2021,4,"Delta Air Lines, Inc.",565.443037974684,326,739.501969608694,1,6245,678,69,747
"110",2021,4,"Frontier Airlines, Inc.",199.5,71.5,260.498496476787,0,712,262.75,14.5,277.25
"111",2021,4,"Jetblue Airways Corporation",670.28125,369.5,696.538390303554,112,2865,527.25,251.25,778.5
"112",2021,4,"Southwest Airlines",236.242074927954,103.5,322.666320818864,0,2872,282.75,32.25,315
"113",2021,4,"Spirit Airlines, Inc.",165.533333333333,164,127.877657306096,8,438,153.5,67,220.5
"114",2021,4,"Sun Country Airlines",22,0,34.2344855372474,0,78,32,0,32
"115",2021,4,"United Air Lines, Inc.",518.851063829787,223,705.961295967816,1,4041,445.25,108.5,553.75
"116",2022,1,"Alaska Airlines, Inc.",642.04,428.5,682.487047346628,0,3100,719.25,191.5,910.75
"117",2022,1,"Allegiant Air LLC ",101.456140350877,65,89.0609883682121,0,394,128,33,161
"118",2022,1,"American Airlines, Inc.",281.90873015873,89.5,492.430237061999,0,3505,294.5,15,309.5
"119",2022,1,"Casino Express",80,76.5,43.9317652729776,34,133,55.5,50.5,106
