"","year","quarter","statecode1","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"55",2019,2,"KY",231.540714285714,239.21,60.3120855938619,82.14,302.85,66.9275,205.9025,272.83
"56",2019,2,"LA",227.7,229.1,34.0523187960029,167.25,285.81,37.9925,211.3725,249.365
"57",2019,2,"MA",252.037065217391,245.26,60.2965273998146,132.95,397.3,88.36,204.465,292.825
"58",2019,2,"ME",200.92,198.88,22.7387356728557,179.27,224.61,22.67,189.075,211.745
"59",2019,2,"MI",242.390487804878,235.71,66.1255802980669,86.84,367.15,90.21,197.95,288.16
"60",2019,2,"MN",249.619285714286,248.58,54.3507811088567,170.6,330.59,92.1275,204.22,296.3475
"61",2019,2,"MO",241.86037037037,254.29,46.8018854388024,93.99,306.69,42.73,227.235,269.965
"62",2019,2,"MT",223.03,232.89,52.468187980909,139.86,268.47,55.57,209.18,264.75
"63",2019,2,"NC",243.578461538462,245.95,78.6014292487081,77.97,403,102.3,192.0375,294.3375
"64",2019,2,"ND",228.54,228.54,184.201316499096,98.29,358.79,130.25,163.415,293.665
"65",2019,2,"NE",220.824,243.395,74.7143664899864,81.07,291.28,58.43,210.395,268.825
"66",2019,2,"NJ",104.28,104.28,NA,104.28,104.28,0,104.28,104.28
"67",2019,2,"NM",262.388888888889,260.34,52.0241427189437,175.04,353.91,94.685,216.115,310.8
"68",2019,2,"NV",216.678,216.215,83.6689430866757,80.07,349.39,157.615,136.805,294.42
"69",2019,2,"NY",262.562880658436,259.01,78.9673858241421,95.21,632.33,100.475,204.23,304.705
"70",2019,2,"OH",234.307162162162,227.635,67.4664842369398,79.97,477.65,90.7975,187.7375,278.535
"71",2019,2,"OK",257.964285714286,267.32,28.887612603065,203.25,285.9,32.15,246.245,278.395
"72",2019,2,"OR",220.022631578947,214.04,67.5457366729393,98.89,348.2,60.9,180.52,241.42
"73",2019,2,"PA",244.409230769231,280.31,74.7367362213901,86.86,325.62,116.41,185.39,301.8
"74",2019,2,"SC",236.709387755102,221.64,72.8187168135181,91.46,397.68,71.46,191.18,262.64
"75",2019,2,"TN",233.463913043478,257.49,65.9860180637033,70.28,332.19,77.3775,201.1125,278.49
"76",2019,2,"TX",242.419121621622,234.42,49.8108129358228,111.51,408.29,67.6525,205.465,273.1175
"77",2019,2,"UT",249.197142857143,285.75,76.301850286496,161.45,348.09,121.785,176.38,298.165
"78",2019,2,"VA",258.828571428571,265.56,97.7345534407547,77.76,375.36,112.5,221.225,333.725
"79",2019,2,"VT",231.14,208.12,99.8424041928078,124,459.5,99.1,159.56,258.66
"80",2019,2,"WA",209.880909090909,174.69,79.850139944091,129.89,371.11,116.59,147.09,263.68
"81",2019,2,"WI",248.074285714286,257.62,60.439970918723,86.8,347.9,62.3175,219.7525,282.07
"82",2019,3,"AL",290.626086956522,264.09,80.6164371204291,197.62,583.5,74.995,255.275,330.27
"83",2019,3,"AR",307.556315789474,296.61,56.5935301769976,245.04,511.67,36.355,284.415,320.77
"84",2019,3,"AZ",226.3976,218.49,81.6688940825494,75.23,361.91,111.61,180.91,292.52
"85",2019,3,"CA",257.480830188679,263.7,79.1229176761127,100.49,652.8,109.13,200.27,309.4
"86",2019,3,"CO",214.94724137931,200.33,51.073767371781,140.55,350.82,61.74,184.3,246.04
"87",2019,3,"CT",282.730588235294,316.8,77.3580032600529,159.44,387.34,133.97,204.34,338.31
"88",2019,3,"DC",207.486666666667,202.73,8.89621455077009,201.98,217.75,7.88500000000002,202.355,210.24
"89",2019,3,"FL",218.968679245283,206.425,58.9150887630094,110.94,382.15,86.315,173.13,259.445
"90",2019,3,"GA",218.243947368421,215.81,57.5736638619051,105.46,345.79,84.6025,171.6475,256.25
"91",2019,3,"IA",261.16375,282.055,60.0869766116863,90.45,318.15,61.8074999999999,242.29,304.0975
"92",2019,3,"ID",209.866363636364,194.66,51.6641895848038,151.63,322.93,44.615,178.875,223.49
"93",2019,3,"IL",219.020405405405,210.89,47.9703028722736,89.55,365.18,68.36,182.75,251.11
"94",2019,3,"IN",242.322272727273,249.36,56.7054750805648,84.77,321.02,51.3875,222.37,273.7575
"95",2019,3,"KY",216.247692307692,227.96,55.0054941428348,80.32,281.23,67.19,184.03,251.22
"96",2019,3,"LA",212.464285714286,223.505,33.1360024315375,159.93,253.42,57.82,181.7275,239.5475
"97",2019,3,"MA",245.488820512821,240.33,63.3538687184242,134.89,497,85.645,199.97,285.615
