"","year","quarter","lms_carrier_name","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"51",2020,2,"Delta Air Lines, Inc.",1163.09090909091,964.5,633.06709428853,235,2608,982.75,626,1608.75
"52",2020,2,"Frontier Airlines, Inc.",988.8,932,322.46271102253,601,1491,130,895,1025
"53",2020,2,"Jetblue Airways Corporation",1282.18367346939,1118,716.180513600604,200,2704,823,836,1659
"54",2020,2,"Southwest Airlines",1197.16588419405,1061,643.891573185455,190,2704,984.5,680,1664.5
"55",2020,2,"Spirit Airlines, Inc.",1021,1006.5,336.95875118477,601,1521,415,790.75,1205.75
"56",2020,2,"Sun Country Airlines",1466.66666666667,1535,167.31507204473,1276,1589,156.5,1405.5,1562
"57",2020,2,"United Air Lines, Inc.",1115.2754491018,928,668.671373395364,200,2611,929,623.5,1552.5
"58",2020,3,"Alaska Airlines, Inc.",1253.67924528302,978,723.255906769065,372,2724,991,742,1733
"59",2020,3,"Allegiant Air LLC ",936.34693877551,898,292.463712209196,276,1574,353,729,1082
"60",2020,3,"American Airlines, Inc.",1365.20634920635,1211,730.344571354923,190,2724,1326,733,2059
"61",2020,3,"Delta Air Lines, Inc.",1207.36774193548,989,660.149373291043,192,2608,1204,659,1863
"62",2020,3,"Frontier Airlines, Inc.",1178.71428571429,1025,421.764039199532,601,1754,608.5,913.5,1522
"63",2020,3,"Jetblue Airways Corporation",1263.47916666667,1140.5,764.418621793041,192,2704,1085,664,1749
"64",2020,3,"Southwest Airlines",1179.17777777778,1052.5,640.834779617733,190,2704,982.5,666.5,1649
"65",2020,3,"Spirit Airlines, Inc.",1407.68421052632,1476,650.386043706315,399,2608,1094,825.5,1919.5
"66",2020,3,"Sun Country Airlines",1329.5,1329.5,290.620887067671,1124,1535,205.5,1226.75,1432.25
"67",2020,3,"United Air Lines, Inc.",1133.92760180995,929,667.42906617186,200,2608,1028,621,1649
"68",2020,4,"Alaska Airlines, Inc.",1171,859,731.914908962964,372,2724,938.5,690,1628.5
